"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1311","2026-03-05","8:00 AM","8:45 AM","Welcome to NICAR! First-timers welcome and networking event 👋","Welcome to the conference! Hear from IRE staff about tips and tactics to navigate our conference like a pro. Also, you'll learn about key resources that IRE offers once you're back home.","false","Networking","Beginner","Diana Fuentes, Investigative Reporters & Editors","Event","White River E","","1",""
"1002","2026-03-05","9:00 AM","10:00 AM","How to get data out of complex documents using AI","Learn how newsrooms get important information out of large volumes of documents (pdfs, audio transcripts) and vet the results to power reporting.","true","Demo","Beginner","Duy Nguyen, The New York Times; Disha Raychaudhuri, Reuters; Teresa Mondría Terol, The New York Times","AI, Tools & Tech","White River D","","1",""
"1069","2026-03-05","9:00 AM","10:00 AM","Using data to investigate the global surveillance industry","Around the world, shadowy firms are siphoning location data from apps, telecom networks, and rogue brokers to track people with chilling precision. Whether it's journalists, Silicon Valley executives, or visitors to Jeffrey Epstein's island, no one is off-limits. This panel brings together journalists who have exposed how invisible surveillance infrastructure is being used to follow people worldwide-and how little stands in the way. The journalists will explain how they uncovered these stories, how they obtained covert datasets through techniques ranging from identifying misconfigured cloud storage buckets to scouring undocumented APIs. They'll break down how journalists can use data to expose the inner workings of the shadowy tracking systems and offer practical methods for investigating the rapidly expanding global surveillance industry.","true","Panel","Beginner","Andrew Couts, WIRED; Gabriel Geiger, Lighthouse Reports; Aaron Sankin, The Marshall Project","Data analysis, Data viz, Beat reporting","White River E","","1",""
"1160","2026-03-05","9:00 AM","10:00 AM","State secrets: A workflow for using state-level ethics disclosure data in your reporting","Learn how to find and use personal financial and economic interest disclosures to report on candidates and elected officials in every state. We'll demo digging into two state systems, share collaborative datasets available to participants and a comprehensive tipsheet on what data is available in each state in 2026, and run through tips on how to track changes and new filings. Reporters with basic Python skills will be able to follow along, but all attendees can benefit from the discussion of open data and workflow-building using these public documents. Participants will leave better prepared and kitted out to do strong accountability reporting on candidates and incumbents in significant elections across the country in 2026. We'll also discuss how these records can be used for deeper investigations into business connections, real estate, environmental issues and more.","false","Demo","Intermediate","Audrey Nielsen, MuckRock; Diara Townes, NC Local","Local, Public records, Research, Elections","102","BYO","1",""
"1193","2026-03-05","9:00 AM","10:00 AM","Data journalism for new reporters","""If you build it - they will come"": Many local reporters might not have the time and/or knowledge to incorporate data skills to their work. So how do you get into thinking and then doing data journalism? This session will include examples and ideas on where to start and how to work to raise awareness about data and how to use it. Over the next few days, you'll see there is a seemingly endless number of things you can learn in the data journalism world. It can be daunting! But everyone at this conference started at the same place as you. We'll help you get started! This session will cover the basics of data journalism, starting with what it is, tips for building up your skills and advice for how you can - realistically - integrate these skills into your daily reporting.","true","Panel","Beginner","Helena Bengtsson, Gota Media / Bonnier News Local; Jennifer LaFleur, UC Berkeley School of Journalism; Cheryl Phillips, Big Local News","Local","White River G","","1",""
"1239","2026-03-05","9:00 AM","10:00 AM","R 1: Intro to R and RStudio","Jump into data analysis with R, the powerful open-source programming language. In this class we'll cover R fundamentals and learn our way around the RStudio interface for using R. This session is good for: People with a basic understanding of data analysis who are ready to go beyond spreadsheets. Laptops will be provided.","false","Hands-on","Beginner","Matt Waite, University of Nebraska","Data analysis, Tools & Tech","204","PC","2",""
"1254","2026-03-05","9:00 AM","10:00 AM","Introduction to the command line (OSX)","Too often in data journalism we forget about the basics. And it doesn't get as basic as the command line. Even knowing a little will make your job easier. We will run through some simple commands, dive into working with spreadsheets and show you some handy tools he frequently uses at work. This session is good for: People who feel intimidated by the command line on their computer, but want to explore the power of command line tools. Laptops will be provided.","false","Hands-on","Beginner","Steven Rich, The New York Times","Tools & Tech","205","OSX","2",""
"1256","2026-03-05","9:00 AM","10:00 AM","Google Sheets 1: Getting started with spreadsheets","In this introduction to spreadsheets, you'll begin analyzing data with Google Sheets, a simple but powerful tool. You'll learn how to enter data, navigate spreadsheets and conduct simple calculations like sum, average and median. This session is good for: Data beginners. Attendees will need to bring their own laptop (no tablets) for the training and will need a free Google account to participate.","false","Hands-on","Beginner","Paroma Soni, POLITICO","Data analysis","202","BYO","2",""
"1274","2026-03-05","9:00 AM","12:30 PM","SOLD OUT - First LLM Classifier: Practical AI in the newsroom","Join Ben Welsh and Andrew Briz to learn how journalists use large-language models to organize and analyze massive datasets. This three-hour, hands-on class will give you hands-on experience creating a machine-learning model that can read and categorize the text recorded in newsworthy datasets. It will teach you how to: - Submit large-language model prompts with the Python programming language - Write structured prompts that can classify text into predefined categories - Submit dozens of prompts at once as part of an automated routine - Evaluate results using a rigorous, scientific approach - Improve results by training the model with rules and examples By the end, you will understand how LLM classifiers can outperform traditional machine-learning methods with significantly less code. And you will be ready to write a classifier on your own.","false","Hands-on","Intermediate","Andrew Briz, POLITICO; Ben Welsh, Reuters","AI","104","OSX","1","45"
"1286","2026-03-05","9:00 AM","10:00 AM","Following the money in college sports' new era","College sports have changed faster in the past five years than in the previous five decades. Join us as we break down the changes in college athletics and look at what's coming, all of which makes accurate data critical, especially financial data. We'll walk through the college finance data, explain new categories available and how to use them (and how not to). We'll also discuss how journalists can secure information about athlete name, image, and likeness deals obtained via Freedom of Information requests. Panelists will also explore current and emerging financial trends in the industry, highlighting issues that journalists across the country should be monitoring, including the $1B in severance paid to get coaches NOT to coach. We'll cover rising student fees, challenges to equity, and new athlete revenue-sharing payments. The panelists will also discuss other stories of interest in the future of college sports, including the prospect of Congressional intervention and the possibility that college athletes become employees. This panel is especially suitable for college students or anyone looking for college sports data and trying to navigate the new rules.","true","Panel","Beginner","Peyton Barish, Knight-Newhouse College Athletics Database; Michael H. LeRoy, University of Illinois; Jodi Upton, Syracuse University","Beat reporting, Sports, Story ideas","White River B","","1",""
